Stat	ID
strength	0
energy	1
dexterity	2
vitality	3
statpts	4
newskills	5
hitpoints	6
maxhp	7
mana	8
maxmana	9
stamina	10
maxstamina	11
level	12
experience	13
gold	14
goldbank	15
item_armor_percent	16
item_maxdamage_percent	17
item_mindamage_percent	18
tohit	19
toblock	20
mindamage	21
maxdamage	22
secondary_mindamage	23
secondary_maxdamage	24
damagepercent	25
manarecovery	26
manarecoverybonus	27
staminarecoverybonus	28
lastexp	29
nextexp	30
armorclass	31
armorclass_vs_missile	32
armorclass_vs_hth	33
normal_damage_reduction	34
magic_damage_reduction	35
damageresist	36
magicresist	37
maxmagicresist	38
fireresist	39
maxfireresist	40
lightresist	41
maxlightresist	42
coldresist	43
maxcoldresist	44
poisonresist	45
maxpoisonresist	46
damageaura	47
firemindam	48
firemaxdam	49
lightmindam	50
lightmaxdam	51
magicmindam	52
magicmaxdam	53
coldmindam	54
coldmaxdam	55
coldlength	56
poisonmindam	57
poisonmaxdam	58
poisonlength	59
lifedrainmindam	60
lifedrainmaxdam	61
manadrainmindam	62
manadrainmaxdam	63
stamdrainmindam	64
stamdrainmaxdam	65
stunlength	66
velocitypercent	67
attackrate	68
other_animrate	69
quantity	70
value	71
durability	72
maxdurability	73
hpregen	74
item_maxdurability_percent	75
item_maxhp_percent	76
item_maxmana_percent	77
item_attackertakesdamage	78
item_goldbonus	79
item_magicbonus	80
item_knockback	81
item_timeduration	82
item_addclassskills	83
unsentparam1	84
item_addexperience	85
item_healafterkill	86
item_reducedprices	87
item_doubleherbduration	88
item_lightradius	89
item_lightcolor	90
item_req_percent	91
item_levelreq	92
item_fasterattackrate	93
item_levelreqpct	94
lastblockframe	95
item_fastermovevelocity	96
item_nonclassskill	97
state	98
item_fastergethitrate	99
monster_playercount	100
skill_poison_override_length	101
item_fasterblockrate	102
skill_bypass_undead	103
skill_bypass_demons	104
item_fastercastrate	105
skill_bypass_beasts	106
item_singleskill	107
item_restinpeace	108
curse_resistance	109
item_poisonlengthresist	110
item_normaldamage	111
item_howl	112
item_stupidity	113
item_damagetomana	114
item_ignoretargetac	115
item_fractionaltargetac	116
item_preventheal	117
item_halffreezeduration	118
item_tohit_percent	119
item_damagetargetac	120
item_demondamage_percent	121
item_undeaddamage_percent	122
item_demon_tohit	123
item_undead_tohit	124
item_throwable	125
item_elemskill	126
item_allskills	127
item_attackertakeslightdamage	128
ironmaiden_level	129
lifetap_level	130
thorns_percent	131
bonearmor	132
bonearmormax	133
item_freeze	134
item_openwounds	135
item_crushingblow	136
item_kickdamage	137
item_manaafterkill	138
item_healafterdemonkill	139
